生产车间,样品编号,品种等级,供应单位,批号,取样日期,检测日期,取样基数(t),取样人,样品到期处理日期,样品到期处理人,样品到期处理批准人,细度(%),密度(g/cm3),比表面积(m2/kg),标准稠度用水量(%),安定性,初凝,终凝,抗压3d,抗压28d,抗折3d,抗折28d,报告日期,备注,检测人,录入时间
寸滩站,023111800034,P·O42.5R,重庆富皇建材有限公司,4TSP103R,2018-01-29 04:31:19,2018-01-31 00:00:00,453.78,朱多,,,,,,,27,合格,165,238,25.5,47.6,6.2,8.5,2018-03-01 00:00:00,,陈尚林,2018-02-27 13:29:17
寸滩站,023111800035,,重庆小南海水泥厂,,2018-01-29 22:18:12,,481.52,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800036,,重庆小南海水泥厂,,2018-01-31 04:44:24,,484.66,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800037,,重庆富皇建材有限公司,,2018-01-31 22:30:07,,542.24,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800038,,重庆骐健商贸有限公司,,2018-02-01 18:00:39,,472.64,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800039,,重庆富皇建材有限公司,,2018-02-02 15:00:39,,481.02,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800040,P·O42.5R,重庆富皇建材有限公司,4TSP122R,2018-02-03 14:15:02,2018-02-06 00:00:00,486.08,朱文武,,,,,,,25,合格,141,328,23.7,45.2,5.7,8.3,2018-03-07 00:00:00,,陈尚林,2018-03-06 16:04:32
寸滩站,023111800041, P·O42.5（低碱）,000,9B-4,2018-02-04 00:47:39,2018-02-06 00:00:00,474.84,朱文武,,,,,,,28,合格,170,239,28.1,45.8,6.3,9.1,2018-03-07 00:00:00,,陈尚林,2018-03-06 16:05:57
寸滩站,023111800042,P·O42.5R,重庆小南海水泥厂,散装254,2018-02-04 13:07:26,2018-02-06 00:00:00,484.9,陈国君,,,,,,,26,合格,162,247,28.6,57.7,6,9,2018-03-07 00:00:00,,陈尚林,2018-03-06 16:07:08
寸滩站,023111800043,,重庆富皇建材有限公司,,2018-02-04 21:49:10,,497.72,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800044,,重庆富皇建材有限公司,,2018-02-05 23:49:00,,484.82,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800045,P·O42.5R,重庆富皇建材有限公司,4TSP133R,2018-02-07 13:13:08,2018-02-12 00:00:00,540.3,朱文武,,,,,,,27,合格,154,227,24.1,45.8,6.1,9.1,2018-03-13 00:00:00,,陈尚林,2018-03-13 15:20:59
寸滩站,023111800046, P·O42.5（低碱）,重庆骐健商贸有限公司,9B-4,2018-02-08 00:19:19,2018-02-12 00:00:00,455.16,朱文武,,,,,,,26,合格,124,194,30.7,48.8,6.7,8.9,2018-03-13 00:00:00,,陈尚林,2018-03-13 15:22:13
寸滩站,023111800047,,重庆富皇建材有限公司,,2018-02-08 23:36:28,,607.32,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800048,,重庆富皇建材有限公司,,2018-02-10 08:48:56,,480.48,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800049,P·O42.5R,重庆富皇建材有限公司,4TSP151R,2018-02-28 16:39:13,2018-03-07 00:00:00,480.92,朱文武,,,,,,,26,合格,126,241,25.7,44.6,5.9,,2018-04-05 00:00:00,,陈尚林,2018-04-03 15:23:08
寸滩站,023111800050,P·O42.5R,重庆小南海水泥厂,散装326#,2018-03-04 20:58:23,2018-03-07 00:00:00,479.58,朱多,2018-04-18 10:08:38,朱多,朱多,,,,27,合格,130,211,33.9,53.6,7,7.5,2018-04-05 00:00:00,,陈尚林,2018-04-03 15:24:22
寸滩站,023111800051, P·O42.5（低碱）,重庆骐健商贸有限公司,9B-5,2018-03-05 00:09:08,2018-03-07 00:00:00,467.84,朱多,2018-04-18 10:08:40,朱多,朱多,,,,25,合格,174,225,29,49.9,5.8,7.5,2018-04-05 00:00:00,,陈尚林,2018-04-03 15:26:19
寸滩站,023111800052,P·O42.5,重庆长寿西南水泥有限公司（轨道十号线甲供）,4E-037,2018-03-06 04:16:39,2018-03-07 00:00:00,477.58,朱文武,2018-04-18 10:08:42,朱多,朱多,,,,27,合格,122,203,21.4,50.4,4.6,8.6,2018-04-05 00:00:00,,陈尚林,2018-04-03 15:27:24
寸滩站,023111800053,P·O42.5,重庆长寿西南水泥有限公司（轨道十号线甲供）,4E-037,2018-03-07 20:23:29,2018-03-13 00:00:00,476.4,朱文武,2018-04-18 10:08:46,朱多,朱多,,,,25,合格,149,198,31,52.6,5.1,8.4,2018-04-11 00:00:00,,陈尚林,2018-04-10 17:10:06
寸滩站,023111800054,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-09 07:58:51,,477.22,朱文武,2018-04-18 10:08:48,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800055,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-10 18:17:33,,480.04,朱文武,2018-06-11 08:51:41,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800056,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-11 16:55:20,,471,朱文武,2018-06-11 08:51:49,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800057,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-12 23:27:43,,475.68,朱文武,2018-06-11 08:51:53,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800058,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-14 14:06:24,,479.4,朱文武,2018-06-11 08:51:55,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800059,,重庆小南海水泥厂,,2018-03-14 22:28:43,,478.42,朱文武,2018-06-11 08:51:58,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800060,P·O42.5,重庆长寿西南水泥有限公司（轨道十号线甲供）,4E-042,2018-03-15 15:12:15,2018-03-20 00:00:00,451.42,朱文武,2018-06-11 08:52:02,朱多,朱多,,,,27,合格,164,234,31,48,5.9,8.8,2018-04-18 00:00:00,,陈尚林,2018-04-17 17:12:36
寸滩站,023111800061,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-16 17:46:13,,478.14,朱文武,2018-05-04 13:18:12,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800062,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-18 00:46:54,,480.28,朱文武,2018-05-04 13:18:11,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800063,P·O42.5R,重庆小南海水泥厂,散装410,2018-03-18 13:09:17,2018-03-20 00:00:00,514.5,朱文武,2018-05-04 13:18:10,朱多,朱多,,,,25,合格,171,215,32.2,51.6,6.3,9.7,2018-04-18 00:00:00,,陈尚林,2018-04-17 17:14:24
寸滩站,023111800064,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-18 17:48:47,,454.92,朱文武,2018-05-04 13:18:09,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800065,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-20 05:49:56,,455.24,朱文武,2018-05-04 13:18:07,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800066,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-21 12:08:03,,544.78,朱文武,2018-05-04 13:18:06,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800067,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-22 19:10:08,,511.24,朱文武,2018-05-04 13:18:05,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800068,P·O42.5R,重庆小南海水泥厂,散装448,2018-03-23 12:24:52,2018-03-27 00:00:00,476.12,朱文武,2018-05-04 13:18:03,朱多,朱多,,,,27,合格,165,215,30.7,53.9,6.6,8.7,2018-04-25 00:00:00,,陈元国,2018-04-20 11:12:13
寸滩站,023111800069,P·O42.5,重庆长寿西南水泥有限公司（轨道十号线甲供）,4E-051,2018-03-23 14:28:35,2018-03-27 00:00:00,478.3,朱文武,2018-05-04 13:18:02,朱多,朱多,,,,25,合格,156,191,24.9,50.3,5.1,8.3,2018-04-25 00:00:00,,陈尚林,2018-04-24 15:24:57
寸滩站,023111800070,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-24 18:06:56,,479.06,朱文武,2018-05-04 13:18:00,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800071,,重庆小南海水泥厂,,2018-03-25 06:47:33,,464.68,朱文武,2018-05-04 13:17:48,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800072,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-03-25 22:59:32,,451.98,朱文武,2018-06-11 08:52:09,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800073,,重庆骐健商贸有限公司,,2018-03-27 04:34:16,,482.8,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800074,P·O42.5,重庆长寿西南水泥有限公司（轨道十号线甲供）,4E-055,2018-03-27 15:59:19,2018-04-03 00:00:00,454.2,朱文武,2018-06-11 08:53:02,朱多,朱多,,,,27,合格,140,265,28,54.8,6.6,8.5,2018-05-02 00:00:00,,陈元国,2018-04-26 11:38:09
寸滩站,023111800075,,重庆小南海水泥厂,,2018-03-28 06:54:18,,511.88,朱文武,2018-06-11 08:53:05,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800076,P·O42.5R,重庆小南海水泥厂,散装498,2018-03-29 23:25:48,2018-04-03 00:00:00,471.58,朱文武,2018-06-11 08:53:07,朱多,朱多,,,,26,合格,118,201,25.1,55.3,6.2,8.5,2018-05-02 00:00:00,,陈尚林,2018-05-01 14:12:36
寸滩站,023111800077,,重庆小南海水泥厂,,2018-03-30 22:41:17,,466.92,朱文武,2018-06-11 08:53:09,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800078,,重庆小南海水泥厂,,2018-03-31 23:11:33,,480.8,朱文武,2018-06-11 08:53:12,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800079,,重庆小南海水泥厂,,2018-04-02 00:55:16,,466.78,朱文武,2018-06-11 08:53:15,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800080,,重庆小南海水泥厂,,2018-04-03 00:45:07,,469.06,朱文武,2018-06-11 08:53:18,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800081,,重庆小南海水泥厂,,2018-04-03 23:14:24,,463.66,朱文武,2018-06-11 08:53:21,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800082, P·O42.5（低碱）,重庆骐健商贸有限公司,9B-8,2018-04-05 01:01:24,2018-04-11 00:00:00,475.54,朱文武,2018-06-11 08:53:24,朱多,朱多,,,,25,合格,125,233,32.2,48.7,5.8,8,2018-05-10 00:00:00,,陈尚林,2018-05-09 09:07:36
寸滩站,023111800083,P·O42.5R,重庆小南海水泥厂,散装544,2018-04-05 06:30:48,2018-04-11 00:00:00,473.18,朱文武,2018-06-11 08:53:26,朱多,朱多,,,,25,合格,120,212,31.1,49.2,5.8,8.8,2018-05-10 00:00:00,,陈尚林,2018-05-09 09:05:33
寸滩站,023111800084, P·O42.5（低碱）,重庆市富丰水泥集团有限公司,9B-8,2018-04-06 16:01:54,2018-04-07 00:00:00,0,朱文武,2018-06-11 08:53:29,朱多,朱多,,,,25,合格,138,210,31.5,0.6,5.5,1,2018-05-06 00:00:00,,陈元国,2018-04-20 13:05:28
寸滩站,023111800085,,重庆长寿西南水泥有限公司（轨道十号线甲供）,,2018-04-09 09:30:51,,456.74,朱文武,2018-06-11 08:53:31,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800086,,重庆小南海水泥厂,,2018-04-09 20:38:30,,514.84,朱文武,2018-06-11 08:53:34,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800087,,重庆小南海水泥厂,,2018-04-10 20:52:48,,517.62,朱文武,2018-06-11 08:53:37,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800088,,重庆建工集团物流有限公司,,2018-04-11 18:58:00,,0,朱文武,2018-06-11 08:53:40,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800089,,重庆小南海水泥厂,,2018-04-11 23:56:46,,469.5,朱文武,2018-06-11 08:53:43,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800090,P·O42.5R,重庆小南海水泥厂,散装604,2018-04-13 00:53:18,2018-04-18 00:00:00,523.84,朱文武,2018-06-11 08:53:46,朱多,朱多,,,,26,合格,165,238,33.9,51.4,5.7,8.5,2018-05-17 00:00:00,,陈尚林,2018-05-15 17:14:09
寸滩站,023111800091,,重庆骐健商贸有限公司,,2018-04-13 16:40:04,,491.4,朱多,2018-06-11 08:53:53,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800092,,重庆小南海水泥厂,,2018-04-13 23:38:49,,478.6,朱文武,2018-06-11 08:53:56,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800093,,重庆小南海水泥厂,,2018-04-15 00:57:28,,478.34,朱文武,2018-06-11 08:53:59,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800094, P·O42.5（低碱）,重庆建工集团物流有限公司,9B-9,2018-04-16 00:34:29,2018-04-18 00:00:00,453.94,陈国君,2018-06-11 08:54:08,朱多,朱多,,,,27,合格,174,225,33,52.4,6.1,8.7,2018-05-17 00:00:00,,陈尚林,2018-05-15 17:15:22
寸滩站,023111800095,,重庆小南海水泥厂,,2018-04-16 04:23:32,,480.52,朱文武,2018-06-11 08:54:11,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800096,P·O42.5R,重庆实屹达商贸有限公司,SPR4-110,2018-04-17 08:41:33,2018-04-20 00:00:00,0,朱多,2018-06-11 08:54:13,朱多,朱多,,,,26,合格,157,222,28.7,0.6,5.9,1,2018-05-19 00:00:00,,陈元国,2018-04-26 12:40:18
寸滩站,023111800097,,重庆小南海水泥厂,,2018-04-18 00:18:12,,497.32,朱多,2018-06-11 08:54:15,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800098,P·O42.5R,重庆小南海水泥厂,散装646,2018-04-19 03:42:14,2018-04-20 00:00:00,465.76,朱多,,,,,,,27,合格,214,290,28,43.7,5.5,7.3,2018-05-19 00:00:00,,陈尚林,2018-05-21 17:11:54
寸滩站,023111800099,,重庆小南海水泥厂,,2018-04-20 03:11:28,,464.32,朱文武,2018-06-11 08:54:18,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800100,,重庆小南海水泥厂,,2018-04-20 20:28:28,,510.4,朱多,2018-06-11 08:54:20,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800101,,重庆小南海水泥厂,,2018-04-21 12:51:16,,464.88,朱多,2018-06-11 08:54:22,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800102,,重庆小南海水泥厂,,2018-04-23 11:53:41,,509.98,朱多,2018-06-11 08:54:25,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800103,,重庆建工集团物流有限公司,,2018-04-24 02:54:15,,483.66,朱多,2018-06-11 08:54:28,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800104,P·O42.5R,重庆小南海水泥厂,散装688,2018-04-24 23:36:24,2018-05-02 00:00:00,469.12,朱多,2018-06-11 08:54:30,朱多,朱多,,,,26,合格,181,239,32.2,47.9,6,8,2018-05-31 00:00:00,,陈尚林,2018-05-30 09:49:10
寸滩站,023111800105,,重庆小南海水泥厂,,2018-04-26 12:13:05,,467.94,朱多,2018-06-11 08:54:33,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800106,P·O42.5R,重庆实屹达商贸有限公司,SPR4-128,2018-04-26 15:22:49,2018-05-02 00:00:00,461.62,陈国君,2018-06-11 08:54:36,朱多,朱多,,,,26,合格,206,236,32.1,47.9,6.3,8.4,2018-05-31 00:00:00,,陈尚林,2018-05-30 09:50:54
寸滩站,023111800107,,重庆小南海水泥厂,,2018-04-27 20:56:37,,520.48,朱文武,2018-06-11 08:54:41,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800108, P·O42.5（低碱）,重庆建工集团物流有限公司,9B-10,2018-04-28 07:14:09,2018-05-02 00:00:00,537.28,朱文武,2018-06-11 08:54:45,朱多,朱多,,,,28,合格,144,221,30.3,45.4,29.8,8.4,2018-05-31 00:00:00,,陈尚林,2018-05-30 09:51:58
寸滩站,023111800109,,重庆小南海水泥厂,,2018-04-28 12:34:56,,466.38,朱多,2018-06-11 08:54:47,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800110,,重庆小南海水泥厂,,2018-04-30 00:31:09,,512.06,朱多,2018-06-11 08:54:50,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800111,,重庆小南海水泥厂,,2018-04-30 23:34:51,,470.24,陈国君,2018-06-11 08:54:53,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800112,,重庆小南海水泥厂,,2018-05-02 03:32:30,,519.92,朱文武,2018-06-11 08:51:24,朱多,朱多,,,,,,,,,,,,,,,
寸滩站,023111800113,P·O42.5R,重庆实屹达商贸有限公司,SPR4-140,2018-05-02 17:40:46,2018-05-09 00:00:00,470.02,陈国君,,,,,,,28,合格,150,217,32,53.5,5.8,7.5,2018-06-07 00:00:00,,陈尚林,2018-06-06 08:17:14
寸滩站,023111800114,,重庆小南海水泥厂,,2018-05-03 11:05:37,,519.1,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800115,,重庆小南海水泥厂,,2018-05-05 06:53:31,,474.94,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800116,,重庆实屹达商贸有限公司,,2018-05-05 13:29:08,,473.76,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800117, P·O42.5（低碱）,重庆建工集团物流有限公司,9B-11,2018-05-05 15:16:51,2018-05-09 00:00:00,510.9,朱多,,,,,,,25,合格,169,265,31.7,48.2,5.7,8.1,2018-06-07 00:00:00,,陈尚林,2018-06-06 08:19:50
寸滩站,023111800118,P·O42.5R,重庆小南海水泥厂,散装794,2018-05-06 21:33:18,2018-05-09 00:00:00,468.28,陈国君,,,,,,,27,合格,163,236,30.3,48.3,5.5,7.7,2018-06-07 00:00:00,,陈尚林,2018-06-06 08:18:35
寸滩站,023111800119,,重庆实屹达商贸有限公司,,2018-05-08 11:59:37,,475.36,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800120,P·O42.5R,重庆小南海水泥厂,散装814,2018-05-09 03:55:58,2018-05-16 00:00:00,512.24,陈国君,,,,,,,28,合格,180,225,33.1,48.1,6.4,8.8,2018-06-14 00:00:00,,陈尚林,2018-06-12 16:21:55
寸滩站,023111800121,,重庆实屹达商贸有限公司,,2018-05-09 12:19:08,,468.72,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800122,P·O42.5R,重庆实屹达商贸有限公司,SPR4-159,2018-05-10 13:05:13,2018-05-16 00:00:00,487.74,陈国君,,,,,,,28,合格,170,225,32.2,49.5,6.6,8.4,2018-06-14 00:00:00,,陈尚林,2018-06-12 16:20:42
寸滩站,023111800123,,重庆实屹达商贸有限公司,,2018-05-11 10:00:44,,525.14,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800124,,重庆实屹达商贸有限公司,,2018-05-12 06:20:00,,483.04,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800125,,重庆实屹达商贸有限公司,,2018-05-12 22:26:15,,460.3,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800126,,重庆实屹达商贸有限公司,,2018-05-14 13:45:49,,473.32,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800127,,重庆实屹达商贸有限公司,,2018-05-15 07:28:33,,480.96,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800128,P·O42.5R,重庆实屹达商贸有限公司,SPR4-175,2018-05-16 10:52:36,2018-05-23 00:00:00,495.74,陈国君,,,,,,,28,合格,202,242,30.5,47.9,6.1,8.8,,,陈尚林,2018-06-20 08:22:32
寸滩站,023111800129, P·O42.5（低碱）,重庆建工集团物流有限公司,9B-12,2018-05-17 07:47:26,2018-05-23 00:00:00,485.64,陈国君,,,,,,,26,合格,163,213,30.8,48.9,6,9.2,,,陈尚林,2018-06-20 08:23:51
寸滩站,023111800130,,重庆实屹达商贸有限公司,,2018-05-17 18:19:56,,465.92,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800131,P·O42.5R,重庆小南海水泥厂,散装886,2018-05-18 20:43:18,2018-05-23 00:00:00,468.36,陈国君,,,,,,,28,合格,175,205,31,49.8,5.9,8.4,,,陈尚林,2018-06-20 08:20:58
寸滩站,023111800132,,重庆实屹达商贸有限公司,,2018-05-19 18:12:30,,462.34,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800133,,重庆小南海水泥厂,,2018-05-19 20:35:39,,467.3,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800134,,重庆小南海水泥厂,,2018-05-21 04:19:08,,471.04,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800135,,重庆小南海水泥厂,,2018-05-22 10:41:53,,464.06,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800136,,重庆小南海水泥厂,,2018-05-23 12:02:31,,465.06,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800137,,重庆小南海水泥厂,,2018-05-24 20:49:40,,607.1,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800138,P·O42.5R,重庆实屹达商贸有限公司,SPR4--190,2018-05-25 08:25:17,2018-05-30 00:00:00,469.62,陈国君,,,,,,,28,合格,161,233,30.3,,6,,,,陈尚林,2018-06-01 10:34:44
寸滩站,023111800139,,重庆小南海水泥厂,,2018-05-26 04:01:09,,522.88,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800140, P·O42.5（低碱）,重庆建工集团物流有限公司,9B-13,2018-05-26 07:12:07,2018-05-30 00:00:00,494.72,朱多,,,,,,,27,合格,162,223,23.3,,4.9,,,,陈尚林,2018-06-01 10:35:58
寸滩站,023111800141,,重庆小南海水泥厂,,2018-05-26 14:28:28,,471.3,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800142,,重庆小南海水泥厂,,2018-05-27 20:43:26,,556.04,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800143,P·O42.5R,重庆小南海水泥厂,散装964,2018-05-29 05:07:56,2018-05-30 00:00:00,467.96,陈国君,,,,,,,25,合格,137,231,30.9,,4.8,,,,陈尚林,2018-06-01 10:33:04
寸滩站,023111800144,,重庆小南海水泥厂,,2018-05-30 01:38:07,,468.3,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800145,,重庆小南海水泥厂,,2018-05-31 12:50:12,,477,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800146,,重庆小南海水泥厂,,2018-06-01 22:06:51,,556.1,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800147,,重庆小南海水泥厂,,2018-06-03 00:10:39,,507.58,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800148,P·O42.5R,重庆小南海水泥厂,散装1010,2018-06-03 13:20:08,2018-06-07 00:00:00,469.78,陈国君,,,,,,,25,合格,130,180,32.1,,6.3,,,,陈尚林,2018-06-08 10:44:16
寸滩站,023111800149,,重庆小南海水泥厂,,2018-06-04 10:56:59,,516.78,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800150,,重庆小南海水泥厂,,2018-06-05 01:58:03,,463.24,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800151,P·O42.5R,重庆小南海水泥厂,散装1032,2018-06-06 00:38:33,2018-06-13 00:00:00,466.56,陈国君,,,,,,,26,合格,137,214,33.6,,6.3,,,,陈尚林,2018-06-15 10:16:57
寸滩站,023111800152,,重庆小南海水泥厂,,2018-06-06 22:36:21,,513.6,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800153, P·O42.5（低碱）,重庆建工集团物流有限公司,9B-14,2018-06-07 01:16:04,2018-06-13 00:00:00,464.98,朱文武,,,,,,,27,合格,139,222,25.5,,6.2,,,,陈尚林,2018-06-15 10:18:07
寸滩站,023111800154,,重庆小南海水泥厂,,2018-06-07 21:06:32,,567.36,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800155,,重庆小南海水泥厂,,2018-06-09 03:32:41,,464.4,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800156,,重庆小南海水泥厂,,2018-06-10 07:30:30,,466.14,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800157,,重庆小南海水泥厂,,2018-06-11 06:50:16,,561.42,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800158,,重庆小南海水泥厂,,2018-06-12 20:12:51,,470.74,朱文武,,,,,,,,,,,,,,,,,,
寸滩站,023111800159,,重庆建工葆晟混凝土有限公司,,2018-06-13 14:57:54,,0,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800160,,重庆小南海水泥厂,,2018-06-13 21:00:15,,473.32,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800161,,重庆小南海水泥厂,,2018-06-15 01:04:17,,521,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800162,P·O42.5R,重庆小南海水泥厂,散装1108,2018-06-16 02:12:51,2018-06-20 00:00:00,467.22,陈国君,,,,,,,29,合格,151,192,,,,,,,陈尚林,2018-06-20 15:32:18
寸滩站,023111800163,,重庆小南海水泥厂,,2018-06-17 04:28:24,,464.84,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800164,,重庆小南海水泥厂,,2018-06-17 23:31:00,,468.6,陈国君,,,,,,,,,,,,,,,,,,
寸滩站,023111800165,,重庆小南海水泥厂,,2018-06-18 22:24:47,,510.66,朱多,,,,,,,,,,,,,,,,,,
寸滩站,023111800166,,重庆小南海水泥厂,,2018-06-19 20:08:23,,553.84,陈国君,,,,,,,,,,,,,,,,,,
建工葆晟,026111800001,P·O42.5R,重庆戈鹰物资有限公司,10a-1,2018-01-01 18:12:48,2018-01-02 00:00:00,470.93,黄焮,2018-03-01 10:12:44,黄焮,黄焮,,,,25,合格,155,221,33.8,-1,6.2,7.2,2018-01-31 00:00:00,,杨勇,2018-01-30 22:00:56
建工葆晟,026111800002,P·O42.5R,重庆戈鹰物资有限公司,10A-2,2018-01-02 22:22:17,2018-01-09 00:00:00,432.62,黄焮,2018-03-01 10:12:45,黄焮,黄焮,,,,26,合格,154,208,25.8,52.2,6.1,6.5,2018-02-07 00:00:00,,谭美付,2018-02-07 09:56:43
建工葆晟,026111800003,P·O42.5R,重庆戈鹰物资有限公司,10A-4,2018-01-04 11:22:08,2018-01-09 00:00:00,471.72,黄焮,2018-03-01 10:12:46,黄焮,黄焮,,,,27,合格,168,195,28.9,50.3,6,7.4,2018-02-07 00:00:00,,谭美付,2018-02-07 09:57:23
建工葆晟,026111800004,P·O42.5R,重庆戈鹰物资有限公司,10A-5,2018-01-05 17:29:30,2018-01-09 00:00:00,448.97,黄焮,2018-03-01 10:12:48,黄焮,黄焮,,,,27,合格,164,202,27.9,50.6,5.5,6.5,2018-02-07 00:00:00,,谭美付,2018-02-07 09:58:25
建工葆晟,026111800005,P·O42.5R,重庆戈鹰物资有限公司,10A-7,2018-01-06 10:52:52,2018-01-09 00:00:00,439.21,黄焮,2018-03-01 10:12:49,黄焮,黄焮,,,,27,合格,139,222,29.3,51.7,6.2,7.4,2018-02-07 00:00:00,,谭美付,2018-02-07 09:59:04
