生产车间,抽检单号,样品编号,品种等级,供应单位,批号,取样日期,检测日期,取样基数(t),取样人,样品到期处理日期,样品到期处理人,样品到期处理批准人,推荐掺量(%),pH值,减水率(%),含气量(%),抗压强度比3d,抗压强度比7d,抗压强度比28d,泌水率比(%),初凝时间差△T(min),终凝时间差△T(min),备注,检测人,录入时间
回龙坝站,041141800067,041141800067,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,01804011-1,2018-04-11 06:47:59,2018-04-12 00:00:00,31,邓孝容,,,,1.5,6.2,30.9,,,153,142,,135,230,,冷莉,2018-05-25 11:03:15
回龙坝站,041141800071,041141800071,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,01804015-1,2018-04-15 11:28:19,2018-04-16 00:00:00,35,邓孝容,,,,1.5,6.4,31.9,,,154,143,,100,230,,冷莉,2018-05-25 11:03:41
回龙坝站,041141800076,041141800076,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,01804018-1,2018-04-19 06:57:56,2018-04-20 00:00:00,31,金超,,,,1.5,6.2,30.9,,,153,142,,130,220,,冷莉,2018-06-21 09:37:26
回龙坝站,041141800078,041141800078,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,01804023-1,2018-04-23 06:40:48,2018-04-24 00:00:00,32,邓孝容,,,,1.5,5.8,29.4,,,152,141,,180,245,,冷莉,2018-06-21 09:39:59
回龙坝站,041141800080,041141800080,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,0180426-1,2018-04-26 15:38:19,2018-04-27 00:00:00,44,邓孝容,,,,1.5,5.6,28.5,,,152,140,,130,225,,冷莉,2018-06-21 09:38:28
回龙坝站,041141800083,041141800083,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,01804030-1,2018-04-30 20:36:09,2018-05-01 00:00:00,41,邓孝容,,,,1.5,6.1,30.6,,,153,142,,135,205,,冷莉,2018-06-21 09:38:48
回龙坝站,041141800085,041141800085,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,0180504-1,2018-05-04 10:51:20,2018-05-05 00:00:00,31,金超,,,,1.5,6.7,32.8,,,155,144,,140,225,,冷莉,2018-06-21 09:39:12
回龙坝站,041141800087,041141800087,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,0180507-1,2018-05-07 06:27:30,2018-05-08 00:00:00,40,邓孝容,,,,1.5,6.7,32.8,,,155,144,,175,210,,冷莉,2018-06-21 09:40:31
回龙坝站,041141800092,041141800092,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,01805011-1,2018-05-11 10:40:06,2018-05-12 00:00:00,41,邓孝容,,,,1.5,6.4,31.8,,,154,143,,140,200,,冷莉,2018-06-21 09:41:58
回龙坝站,041141800096,041141800096,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,01805013-1,2018-05-13 07:09:57,2018-05-14 00:00:00,45,邓孝容,,,,1.5,6.9,33.9,,,155,144,,165,235,,冷莉,2018-06-21 09:42:26
回龙坝站,041141800097,041141800097,聚羧酸高性能减水剂-缓凝型,重庆汇典建材有限公司,01805014-1,2018-05-14 11:07:51,2018-05-15 00:00:00,48,邓孝容,,,,1.5,6.7,33,,,155,144,,155,235,,冷莉,2018-06-21 09:42:57
南海站,042141800001,042141800001,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0002,2018-01-01 08:32:56,2018-01-01 00:00:00,36,王逸涵,,,,1.5,6.5,32.3,,,154,143,,130,210,,潘洪,2018-03-05 09:15:34
南海站,042141800002,042141800002,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0090,2018-01-04 08:37:10,2018-01-04 00:00:00,36,王逸涵,,,,1.5,6.2,30.8,,,153,142,,110,210,,潘洪,2018-03-05 09:15:52
南海站,042141800003,042141800003,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0198,2018-01-07 08:09:54,2018-01-07 00:00:00,37,王逸涵,,,,1.5,6.7,33,,,155,144,,170,225,,潘洪,2018-03-05 09:16:09
南海站,042141800004,042141800004,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0574,2018-01-10 08:00:16,2018-01-10 00:00:00,36,王逸涵,,,,1.5,6.7,33,,,155,144,,110,215,,潘洪,2018-03-05 09:16:29
南海站,042141800005,042141800005,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0506,2018-01-12 10:29:29,2018-01-12 00:00:00,36,王逸涵,,,,1.5,5.7,29.1,,,152,140,,165,230,,潘洪,2018-03-05 09:16:47
南海站,042141800006,042141800006,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0589,2018-01-14 08:20:30,2018-01-14 00:00:00,36,王逸涵,,,,1.5,5.5,28.1,,,152,140,,110,205,,潘洪,2018-03-05 09:17:03
南海站,042141800007,042141800007,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0628,2018-01-16 08:32:18,2018-01-16 00:00:00,36,王逸涵,,,,1.5,5.5,28.1,,,152,140,,170,205,,潘洪,2018-03-05 09:17:23
南海站,042141800008,042141800008,聚羧酸高性能减水剂-缓凝型,科之杰新材料集团有限公司,S-2017-136#,2018-01-17 10:32:22,2018-01-17 00:00:00,36,王逸涵,,,,1.5,6,30.3,,,153,141,,135,245,,潘洪,2018-03-05 09:17:41
南海站,042141800009,042141800009,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0768,2018-01-18 10:55:38,2018-01-18 00:00:00,36,王逸涵,,,,1.5,5.8,29.3,,,152,141,,170,195,,潘洪,2018-03-05 09:18:05
南海站,042141800010,042141800010,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0789,2018-01-19 08:47:11,2018-01-19 00:00:00,36,王逸涵,,,,1.5,5.8,29.3,,,152,141,,115,250,,潘洪,2018-03-05 09:18:30
南海站,042141800011,042141800011,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0862,2018-01-21 09:45:36,2018-01-21 00:00:00,36,王逸涵,,,,1.5,6.3,31.5,,,154,142,,170,200,,潘洪,2018-03-05 09:18:48
南海站,042141800012,042141800012,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-0928,2018-01-24 08:46:22,2018-01-24 00:00:00,36,王逸涵,,,,1.5,6.3,31.5,,,154,142,,185,250,,潘洪,2018-03-05 09:19:06
南海站,042141800013,042141800013,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-1066,2018-01-27 08:34:28,2018-01-27 00:00:00,36,王逸涵,,,,1.5,6.9,33.6,,,155,144,,145,245,,潘洪,2018-03-05 09:19:23
南海站,042141800014,042141800014,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201801-1069,2018-01-28 06:42:13,2018-01-28 00:00:00,36,王逸涵,,,,1.5,6.6,32.6,,,155,143,,140,220,,潘洪,2018-03-05 09:19:41
南海站,042141800016,042141800016,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201802-0012,2018-02-02 08:41:26,2018-02-02 00:00:00,36,王逸涵,,,,1.5,5.9,29.8,,,153,141,,105,220,,潘洪,2018-03-29 09:15:31
南海站,042141800017,042141800017,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201802-0088,2018-02-05 09:12:00,2018-02-05 00:00:00,37,王逸涵,,,,1.5,5.7,29.1,,,152,140,,150,220,,潘洪,2018-03-29 09:15:50
南海站,042141800018,042141800018,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201802-0090,2018-02-06 09:12:35,2018-02-06 00:00:00,36,王逸涵,,,,1.5,5.7,29.1,,,152,140,,165,210,,潘洪,2018-03-29 09:16:08
南海站,042141800019,042141800019,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201802-0099,2018-02-08 08:38:15,2018-02-08 00:00:00,36,王逸涵,,,,1.5,6,30.1,,,153,141,,145,230,,潘洪,2018-03-29 09:16:26
南海站,042141800020,042141800020,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0038,2018-03-05 08:31:35,2018-03-05 00:00:00,37,王逸涵,,,,1.5,6,30,,,152,140,,155,235,,潘洪,2018-05-02 09:39:31
南海站,042141800021,042141800021,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0068,2018-03-08 08:32:57,2018-03-08 00:00:00,36,王逸涵,,,,1.5,6.8,33.5,,,155,144,,130,245,,潘洪,2018-05-02 09:39:52
南海站,042141800022,042141800022,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0186,2018-03-11 08:41:05,2018-03-11 00:00:00,36,王逸涵,,,,1.5,5.9,29.7,,,153,141,,165,245,,潘洪,2018-05-02 09:40:10
南海站,042141800023,042141800023,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0236,2018-03-14 09:18:54,2018-03-14 00:00:00,36,王逸涵,,,,1.5,6.4,31.8,,,154,143,,105,240,,潘洪,2018-05-02 09:40:30
南海站,042141800025,042141800025,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0048,2018-03-20 08:48:11,2018-03-20 00:00:00,36,王逸涵,,,,1.5,6.5,32,,,154,143,,140,210,,潘洪,2018-05-02 09:41:21
南海站,042141800026,042141800026,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0526,2018-03-21 08:58:35,2018-03-21 00:00:00,36,王逸涵,,,,1.5,6,30.3,,,153,141,,155,225,,潘洪,2018-05-02 09:41:41
南海站,042141800027,042141800027,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0566,2018-03-23 08:57:07,2018-03-23 00:00:00,36,王逸涵,,,,1.5,5.8,29.3,,,152,141,,115,235,,潘洪,2018-05-02 09:42:04
南海站,042141800028,042141800028,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0601,2018-03-25 09:02:06,2018-03-25 00:00:00,37,王逸涵,,,,1.5,6.3,31.5,,,154,142,,115,210,,潘洪,2018-05-02 09:42:30
南海站,042141800029,042141800029,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0769,2018-03-27 09:25:18,2018-03-27 00:00:00,36,王逸涵,,,,1.5,6.1,30.5,,,153,142,,110,215,,潘洪,2018-05-02 09:42:49
南海站,042141800030,042141800030,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201803-0926,2018-03-28 10:23:49,2018-03-28 00:00:00,36,王逸涵,,,,1.5,6.6,32.7,,,155,143,,155,230,,潘洪,2018-05-02 09:43:09
南海站,042141800031,042141800031,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-0006,2018-04-01 09:07:23,2018-04-01 00:00:00,36,王逸涵,,,,1.5,5.5,28.1,,,152,140,,165,205,,潘洪,2018-05-28 10:34:52
南海站,042141800032,042141800032,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-0024,2018-04-03 08:53:57,2018-04-03 00:00:00,36,王逸涵,,,,1.5,5.9,29.6,,,153,141,,120,210,,潘洪,2018-05-28 10:35:09
南海站,042141800033,042141800033,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-0106,2018-04-05 09:10:09,2018-04-05 00:00:00,36,王逸涵,,,,1.5,5.9,29.6,,,153,141,,140,245,,潘洪,2018-05-28 10:35:31
南海站,042141800034,042141800034,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-0426,2018-04-08 08:46:59,2018-04-08 00:00:00,36,王逸涵,,,,1.5,6.8,33.4,,,155,144,,105,245,,潘洪,2018-05-28 10:35:50
南海站,042141800035,042141800035,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-0680,2018-04-11 08:54:52,2018-04-11 00:00:00,36,王逸涵,,,,1.5,5.6,28.4,,,152,140,,145,185,,潘洪,2018-05-28 10:36:06
南海站,042141800036,042141800036,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-0838,2018-04-13 11:45:35,2018-04-13 00:00:00,36,王逸涵,,,,1.5,5.6,28.4,,,152,140,,135,235,,潘洪,2018-05-28 10:36:23
南海站,042141800037,042141800037,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-1039,2018-04-16 13:28:19,2018-04-16 00:00:00,36,王逸涵,,,,1.5,6.5,32.3,,,154,143,,120,240,,潘洪,2018-05-28 10:36:41
南海站,042141800039,042141800039,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-1200,2018-04-19 10:43:39,2018-04-19 00:00:00,36,王逸涵,,,,1.5,6,30.1,,,153,141,,130,250,,潘洪,2018-05-28 10:37:24
南海站,042141800040,042141800040,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-1316,2018-04-21 09:08:49,2018-04-21 00:00:00,36,王逸涵,,,,1.5,6.2,31.1,,,154,142,,180,230,,潘洪,2018-05-28 10:38:01
南海站,042141800041,042141800041,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-1589,2018-04-25 08:34:36,2018-04-25 00:00:00,35,王逸涵,,,,1.5,5.7,28.9,,,152,140,,170,210,,潘洪,2018-05-28 10:38:24
南海站,042141800042,042141800042,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-1599,2018-04-26 12:49:50,2018-04-26 00:00:00,36,王逸涵,,,,1.5,5.9,29.9,,,153,141,,105,230,,潘洪,2018-05-28 10:38:50
南海站,042141800043,042141800043,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,PCA Ⅰ-12-201804-1829,2018-04-28 08:05:15,2018-04-28 00:00:00,36,王逸涵,,,,1.5,5.9,29.9,,,153,141,,150,210,,潘洪,2018-05-28 10:39:15
